SportID,Name,EventDate,Location
0,Flatow-Cup Soccer,2023-08-16,Berlin
0,Soccer Christmas Event,2023-12-16,Kiel
0,Soccer All-Out,2023-07-07,Berlin
1,Flatow-Cup Canoeing,2023-08-10,Leipzig
1,Canoeing in Canada,2023-09-13,Berlin
1,Canoeing Event Munich,2023-05-06,Munich
2,Flatow-Cup Rowing,2023-11-18,Kiel
2,Rowing on the Lake,2023-07-21,Bremen
2,Rowing full Power,2023-02-27,Munich
3,Flatow-Cup Sailing,2023-09-04,Leipzig
3,Sailing against the Tides,2023-06-20,Bremen
3,Sailing around the World,2023-9-16,Bremen
