EventID,StudentID,Rank,Notes
6,1,10,
7,1,5,
8,1,7,
6,2,10,
7,2,3,
8,2,8,
3,3,3,
4,3,6,
5,3,2,
3,4,10,
4,4,6,
5,4,7,
0,5,8,
1,5,8,
2,5,4,
0,6,1,
1,6,8,
2,6,2,
6,7,7,
7,7,1,
8,7,5,
0,8,3,
1,8,5,
2,8,10,
9,9,9,
10,9,6,
11,9,8,
9,10,6,
10,10,10,
11,10,1,
0,11,10,
1,11,1,
2,11,9,
3,12,1,
4,12,1,
5,12,8,
3,13,10,
4,13,7,
5,13,3,
3,14,10,
4,14,3,
5,14,8,
6,15,7,
7,15,3,
8,15,2,
3,16,3,
4,16,5,
5,16,5,
9,17,3,
10,17,10,
11,17,1,
9,18,6,
10,18,8,
11,18,1,
6,19,3,
7,19,2,
8,19,2,
6,20,2,
7,20,4,
8,20,2,
6,21,6,
7,21,1,
8,21,10,
3,22,9,
4,22,1,
5,22,3,
0,23,2,
1,23,8,
2,23,6,
3,24,8,
4,24,9,
5,24,10,
6,25,4,
7,25,8,
8,25,4,
3,26,7,
4,26,5,
5,26,2,
9,27,3,
10,27,7,
11,27,8,
6,28,3,
7,28,7,
8,28,4,
3,29,1,
4,29,3,
5,29,3,
6,30,2,
7,30,4,
8,30,1,
0,31,7,
1,31,9,
2,31,6,
9,32,2,
10,32,10,
11,32,6,
6,33,9,
7,33,5,
8,33,4,
9,34,6,
10,34,9,
11,34,8,
6,35,7,
7,35,6,
8,35,3,
9,36,3,
10,36,8,
11,36,7,
6,37,2,
7,37,3,
8,37,3,
3,38,10,
4,38,6,
5,38,4,
0,39,4,
1,39,7,
2,39,10,
3,40,10,
4,40,10,
5,40,3,
0,41,10,
1,41,4,
2,41,8,
3,42,2,
4,42,6,
5,42,1,
6,43,8,
7,43,4,
8,43,1,
9,44,5,
10,44,5,
11,44,6,
0,45,9,
1,45,4,
2,45,10,
3,46,8,
4,46,1,
5,46,10,
0,47,10,
1,47,6,
2,47,1,
6,48,2,
7,48,9,
8,48,2,
6,49,10,
7,49,6,
8,49,10,
9,50,3,
10,50,7,
11,50,9,
9,51,3,
10,51,9,
11,51,9,
9,52,5,
10,52,10,
11,52,6,
0,53,9,
1,53,6,
2,53,4,
3,54,2,
4,54,9,
5,54,7,
0,55,5,
1,55,5,
2,55,9,
3,56,6,
4,56,10,
5,56,8,
0,57,7,
1,57,6,
2,57,4,
9,58,10,
10,58,7,
11,58,10,
6,59,4,
7,59,2,
8,59,4,
0,60,7,
1,60,3,
2,60,2,
